id	filename	md5	size	state
0039e77f-27ef-4a75-b703-430499e7cca1	0039e77f-27ef-4a75-b703-430499e7cca1/unc.edu.73312e93-4a48-41f5-9d8e-08b6300affb0.2687653.rsem.genes.results	657fa553ee1220f1607965da8589906a	1506940	validated
02f54519-55f0-40dc-9087-694c505632b3	02f54519-55f0-40dc-9087-694c505632b3/unc.edu.8a588309-2327-4770-b5b6-8019a004c033.2685287.rsem.genes.results	bc35d6cfa7692101508e231aaa14f16a	1517556	validated
03dd3026-2551-4699-ada1-1cc8013f1dcf	03dd3026-2551-4699-ada1-1cc8013f1dcf/unc.edu.87793870-b51e-433f-9f32-eda032d71f04.2686349.rsem.genes.results	d0279c66f1e7c6b85fd29b08b42a37d3	1527550	validated
0428a2c9-86fa-4e34-bc93-d30cf7df718a	0428a2c9-86fa-4e34-bc93-d30cf7df718a/unc.edu.5d4f26fa-7291-4c6c-b79e-a376307122ac.2690204.rsem.genes.results	d35660e81f4f6ef503708244ceda8a37	1524914	validated
04c70130-acf2-401d-88c9-ec044a694a6d	04c70130-acf2-401d-88c9-ec044a694a6d/unc.edu.a5dfa81c-9749-4d32-8463-a3508e8bb471.2707839.rsem.genes.results	b0ca39db83428e65db3b161bfeb8ec3b	1526387	validated
056cd107-bd18-4ca8-9f87-4047d3b9a765	056cd107-bd18-4ca8-9f87-4047d3b9a765/unc.edu.2a1fb3d4-6105-4eac-8d16-9a1091a0b938.2695271.rsem.genes.results	ec923d6d628ae192af4794945e61d972	1512506	validated
06b1cb3c-5916-4006-8066-452a65554502	06b1cb3c-5916-4006-8066-452a65554502/unc.edu.8205b289-5207-4d9a-ae3b-f12f4019fde4.2710332.rsem.genes.results	b6100b0ddf379243711d4e558599254b	1531222	validated
07804dad-771b-4788-a00f-abb41434f3a8	07804dad-771b-4788-a00f-abb41434f3a8/unc.edu.72c1617d-1c1b-4681-aa5a-8349e87f27d6.2721133.rsem.genes.results	cfed9e03ace0541c7c7f383ddfa7e7cf	1519000	validated
083ef776-4f07-4f26-abf6-59c02b4d62da	083ef776-4f07-4f26-abf6-59c02b4d62da/unc.edu.58c02eaf-0aa3-4487-921b-4cd12ac460f3.2689525.rsem.genes.results	9dbe8ac343dcf662b793021ba96411e5	1520436	validated
08b8c598-f015-4271-a812-4357e7c93bdb	08b8c598-f015-4271-a812-4357e7c93bdb/unc.edu.93dc101f-36f8-4d7f-a117-5df5d5dcce86.2686620.rsem.genes.results	48d494133e278c65d4c1d08f5aadadf6	1519277	validated
